OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
3986,2021/05/26 23:00:00+00,1720,3,Slight,J2,Turning Movement from minor road,2,2,0,0,0,0,0,361722,171895,CARS
3987,2021/05/30 23:00:00+00,1540,3,Slight,NONE,Other,2,1,0,1,0,0,0,359055,173755,CYC
3988,2021/05/28 23:00:00+00,2300,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,358931,172907,A
3989,2021/06/01 23:00:00+00,1345,3,Slight,NT,Nose to Tail,3,1,0,0,0,0,0,358208,169176,CARS
3990,2021/06/03 23:00:00+00,1900,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,354126,178956,CARS
3991,2021/06/04 23:00:00+00,1530,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,360365,173408,CARS
3992,2021/05/26 23:00:00+00,1540,3,Slight,NONE,Other,2,1,0,0,0,0,1,360534,174205,CARS
3993,2021/06/06 23:00:00+00,1605,3,Slight,NONE,Other,2,1,0,1,0,0,0,361772,174872,CYC
3994,2021/06/06 23:00:00+00,0835,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,355173,177392,A
3995,2021/10/29 23:00:00+00,1006,2,Serious,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,358174,173880,CARS
3996,2021/11/03 00:00:00+00,1803,3,Slight,NT,Nose to Tail,3,1,0,0,0,0,0,362262,173602,CARS
3997,2021/11/03 00:00:00+00,2020,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,360459,174008,A
3998,2021/12/02 00:00:00+00,0630,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,359175,175829,CYC
3999,2021/12/02 00:00:00+00,0835,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,359015,174447,CYC
4000,2021/12/02 00:00:00+00,0950,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,357824,173768,CYC
4001,2021/12/02 00:00:00+00,1330,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,357852,178151,CARS
4002,2021/12/01 00:00:00+00,1800,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,357185,177806,CARS
4003,2021/12/04 00:00:00+00,0256,3,Slight,J,Turning movement ¿ unidentified priority,3,1,0,1,0,0,0,359100,173529,CYC
4004,2021/12/04 00:00:00+00,1716,3,Slight,NONE,Other,2,1,0,0,1,0,0,360044,174674,MCYC
4005,2021/12/02 00:00:00+00,0800,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,358631,172472,C
4006,2021/12/05 00:00:00+00,1730,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,360454,174003,CYC
4007,2021/12/04 00:00:00+00,1700,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,359500,173123,CARS
4008,2021/11/17 00:00:00+00,0730,3,Slight,NONE,Other,1,1,0,1,0,0,0,358803,173343,CYC
4009,2021/10/06 23:00:00+00,0040,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,352618,179214,CARS
4010,2021/12/06 00:00:00+00,2330,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,357958,174253,CARS
4011,2021/10/21 23:00:00+00,1101,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,358739,168053,CARS
4012,2021/10/26 23:00:00+00,2050,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,358689,172004,CARS
4013,2021/10/25 23:00:00+00,0620,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,351671,178547,CARS
4014,2021/11/08 00:00:00+00,1030,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,358879,169775,CARS
4015,2021/11/11 00:00:00+00,2340,3,Slight,J1,Turning Movement from major road,2,3,0,0,0,0,0,360758,175347,CARS
4016,2021/12/01 00:00:00+00,1545,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,363251,175757,A
4017,2021/12/16 00:00:00+00,2200,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,357258,175778,CYC
4018,2021/11/17 00:00:00+00,1610,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,359200,173547,CARS
4019,2021/04/07 23:00:00+00,1100,3,Slight,NONE,Other,2,1,0,1,0,0,0,358055,173891,CYC
4020,2020/05/03 23:00:00+00,1735,3,Slight,J,Turning movement ¿ unidentified priority,2,2,0,0,0,0,0,357340,169589,CARS
4021,2020/02/05 00:00:00+00,1438,3,Slight,J,Turning movement ¿ unidentified priority,3,2,0,0,0,0,0,359014,178218,CARS
4022,2020/02/04 00:00:00+00,2100,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,360495,174099,A
4023,2020/02/08 00:00:00+00,1455,3,Slight,C,Child pedestrian,1,1,1,0,1,1,0,359389,173283,C
4024,2020/02/07 00:00:00+00,1733,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,362904,175568,MCYC
4025,2019/12/07 00:00:00+00,0152,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,357874,173287,A
4026,2020/05/18 23:00:00+00,0739,3,Slight,NONE,Other,1,1,0,0,0,0,0,358629,172495,CARS
4027,2020/05/05 23:00:00+00,1740,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,360937,175292,CARS
